鳴滝,快傑蒸気探偵団
ロディ・シャッフル※,銀河漂流バイファム13
ケイン・ブルーリバー,ロスト・ユニバース
孫悟空,最遊記
リウ・ソーマ,アルジェントソーマ
カズマ,スクライド
花菱薫,藍より青し
キラ・ヤマト,機動戦士ガンダムSEED/機動戦士ガンダムSEEDDESTINY
凪宗一郎,天上天下
大門大,デジモンセイバーズ
前原圭一,ひぐらしのなく頃に
桜井智樹,そらのおとしもの
ライガット・アロー,ブレイクブレイド
ブレラ・スターン,マクロスFシリーズ
佐野清一郎,うえきの法則
相葉祐希,無限のリヴァイアス
ルシア・レアグローブ,RAVE
アキラ,SAMURAIDEEPERKYO
松竹香,わがまま☆フェアリーミルモでポン!
向日岳人,テニスの王子様
ミハエル・ギャレット,ガン×ソード
ブルックリン,爆転シュートベイブレード
田波龍三,聖ルミナス女学院
アルヴィス,MAR
ベン・テニスン,ベン10
風鳥院花月,GetBackers-奪還屋-
リゾット,コロッケ!
スギノ様,tactics
アキュラス,B-伝説!バトルビーダマン
日渡星司,きらりん☆レボリューション
坂本秋良,プリンセス・プリンセス
大神信,神霊狩/GHOST HOUND
マスカレード,爆丸バトルブローラーズ
支葵千里,ヴァンパイア騎士
馬頭丸,ぬらりひょんの孫
プリンス・ハイドロン,爆丸バトルブローラーズニューヴェストロイア
笠松幸男,黒子のバスケ
ジノ・ヴァインベルグ,コードギアスシリーズ
白純里緒,空の境界
草薙桂(画像右),おねがい☆ティーチャー
デス・ガン,ソードアート・オンラインⅡ
グプタ,ジャングルはいつもハレのちグゥ
セト,メカクシティアクターズ
夜叉丸,NARUTO
小高勝,ぼくらの
立花仙蔵,忍たま乱太郎
五十鈴銀之助,東京アンダーグラウンド
三原王二郎（左の人物）,機動天使エンジェリックレイヤー
祗王夕月,裏切りは僕の名前を知っている
一色誠,中二病でも恋がしたい!
白河勝之,ダイヤのA
ヒロスエ,サイボーグクロちゃん
ヨルナミ,アラタカンガタリ
緒川慎次,戦姫絶唱シンフォギア
悟空猿門,ナンバカ
ドクター・ガラ,フューチャーカードバディファイト
双葉大我,スタミュ
