小早川瀬那,アイシールド21
夏目智春,アスラクライン
宿海仁太,あの日見た花の名前を僕達はまだ知らない。
速水星玄,UN-GO＊1
ナッツ,Yes!プリキュア5
鵺,エア・ギア
美鞍葛馬,エア・ギア 黒の羽と眠りの森 -Break on the sky-
森野亮士,オオカミさんと七人の仲間たち
川島公,おおきく振りかぶって
トド松,おそ松さん
百夜優一郎,終わりのセラフ
柏崎茜,風が強く吹いている
沙慈・クロスロード,機動戦士ガンダム00
橘千鶴,君と僕。
真夏ダイチ,キャプテン・アース
野崎圭,キューティクル探偵因幡
やすのしん,クッキンアイドル アイ!マイ!まいん!
樹多村光,クロスゲーム
石田将也,聲の形
日向アキト,コードギアス 亡国のアキト
タカオ（秋月孝雄）,言の葉の庭
吉弥,百日紅～Miss HOKUSAI～
バカボン,深夜!天才バカボン
鏡誠,セイクリッドセブン
火野カガリ,絶対可憐チルドレン
ハク,千と千尋の神隠し
春日井甲洋,蒼穹のファフナー
真田広章,それでも町は廻っている
タダクニ,男子高校生の日常
小狼,ツバサ・クロニクル
ハル,つり球
丹羽大助,D・N・ANGEL
千川つとむ,鉄腕バーディー
ピーター,劇場版 テニスの王子様 英国式庭球城決戦!
丹羽真,電波女と青春男
タカオ,トワノクオン
椿明,謎の彼女X
やぐら,NARUTO
トサカ丸,ぬらりひょんの孫
菅原孝支,ハイキュー!!
財津衛,初恋限定。
セズン・ハフェズ,花咲ける青少年
パラッパ,パラッパラッパー
ツヴァイ/吾妻玲二,Phantom 〜Requiem for the Phantom〜
ケリィ（衛宮切嗣・少年期）,Fate/Zero
井上心葉,“文学少女”シリーズ＊2
マサオミ,ポケットモンスター ベストウイッシュ
シュン・クァーナン・プラエセス,星を追う子ども
シン・クァーナン・プラエセス,星を追う子ども
大鳥翼,メタルファイトベイブレード
エピソード,物語シリーズ
影山律,モブサイコ100
アストラル,遊戯王ZEXAL
No.96ブラック・ミスト,遊戯王ZEXAL
