スティック・バーナード,機甲創世記モスピーダ
パプテマス・シロッコ,機動戦士Ζガンダム
ユダ,北斗の拳
東北ミヤギ,南国少年パプワくん
ブロリー,ドラゴンボールZ
中嶋剣,逮捕しちゃうぞ
トッピー,宇宙船サジタリウス
クラスティ,シンプソンズ
ドット,しましまとらのしまじろう
ハーゲン,聖闘士星矢
カール・ゲイナー,機甲戦記ドラグナー
根元正,伝説の勇者ダ・ガーン
ランドバイソン,伝説の勇者ダ・ガーン
一つ目シェフ,怪談レストラン
ばけねこさん,怪談レストラン
ニコチャン大王,ドクタースランプ
山崎九郎右衛門,シグルイ
ネバタコス,Yes!プリキュア5GoGo!
エルドラン,エルドランシリーズ
小島勉,絶対無敵ライジンオー
流崎力哉,元気爆発ガンバルガー
ルクスン・北条,無限のリヴァイアス
瓜核,スクライド
ワポル,ONEPIECE
オメガモン,デジモンクロスウォーズ
タクティモン,デジモンクロスウォーズ
フォクシー,ONEPIECE
バビディ,ドラゴンボール改
ガブリエル・ラミレス・ガルシア,機動戦士ガンダム0080 ポケットの中の戦争
ジャッキー・グーデリアン,新世紀GPXサイバーフォーミュラ
怪盗シルバーハート,怪盗ジョーカー
熊田雄一郎,美少女戦士セーラームーン旧作アニメシリーズ
ジャッキー李,闘将!!拉麺男
渋川剛気,バキ(2018年版)
ディスポ,ドラゴンボール超
