コーティカルテ・アパ・ラグランジェス,神曲奏界ポリフォニカ
ナギ,かんなぎ
三宮紫穂,絶対可憐チルドレン
ミレイナ・ヴァスティ,機動戦士ガンダム00
乱崎千花,狂乱家族日記
エムエム,ケメコデラックス!
ララ・サタリン・デビルーク,ToLOVEる
岸桃華,夜桜四重奏
黒威すみ/てんぺらスミ,もえたん
斑鳩あやめ,明日のよいち!
水無神操緒,アスラクライン
ユンユン,CANAAN
月島青葉,クロスゲーム
山口如月,GA芸術科アートデザインクラス
蒔田姫,宙のまにまに
ノロティ=マルチェ,戦う司書
湾内絹保,とある科学の超電磁砲
桐島朱莉、桐島琴音,にゃんこい!
ルージュ,バスカッシュ!
観月マナ,WHITE ALBUM
一ノ瀬・弓子・クリスティーナ,よくわかる現代魔法
金武城真奈美,あそびにいくヨ!
照屋栄子,いちばんうしろの大魔王
狩生玲奈,ReLIFE
蓮城寺べる,プリティーリズム・レインボーライブ
流木野サキ,革命機ヴァルヴレイヴ
綿月豊姫,東方project(秘封活動記録)
否定姫,刀語
清水恵,屍鬼
気多の巫女/サカナちゃん,STARDRIVER
神近莉緒,デュラララ!!
丸井ひとは,みつどもえ
百緑,おとめ妖怪ざくろ
安城鳴子,あの日見た花の名前を僕達はまだ知らない。
真朱,C
繭,猫神やおよろず
和倉結名,花咲くいろは
花澤由加,べるぜバブ
村越美樹,森田さんは無口
真柴美月,WORKING!!
宮越華,WWW.WORKING!!
貴月イチカ,あの夏で待ってる
アスナ/結城明日奈,ソードアート・オンライン
水谷雫,となりの怪物くん
花木優香,夏色キセキ
龍胆嵐丸,貧乏神が!
グリューエル・セレニティ,モーレツ宇宙海賊
ミコット・バーチ,機動戦士ガンダムUC
モルジアナ,マギ
メイド姉,まおゆう魔王勇者
ヒカル,BabyPrincess
真野まり,サムライフラメンコ
ジェシカ,ポケットモンスターXY
風間璃緒,世界でいちばん強くなりたい!
高山春香,桜Trick
氷川いおな/キュアフォーチュン,ハピネスチャージプリキュア!
エレオノーラ=ヴィルターリア,魔弾の王と戦姫
折本かおり,やはり俺の青春ラブコメはまちがっている。
永倉伊万里,アブソリュート・デュオ
エイナ・チュール,ダンジョンに出会いを求めるのは間違っているだろうか
にゃみりん,ミカグラ学園組曲
秩父ラブラ,パンチライン
銀子,銀魂゜
安久奈白,東京喰種
ピニャ・コ・ラーダ,GATE 自衛隊彼の地にて、斯く戦えり
斉木楠子,斉木楠雄のΨ難
メアリー・スー,幼女戦記
ゼロツー,ダーリン・イン・ザ・フランキス
アイリス・カナリー,ヴァイオレット・エヴァーガーデン
天野ケースケ,妖怪ウォッチシャドウサイド
マツリカ,ポケットモンスター サン&ムーン
小鹿しのぶ,甘々と稲妻
