こころ,ココロ図書館
アニタ・キング,R.O.D -THE TV-
ラヴィ・ヘッド,LASTEXILE
小島桐絵,GIRLSブラボー
正田スミレ,学園アリス
聖陽一,学園アリス
日向夏美,ケロロ軍曹
コマチ,SAMURAI7
小砂,砂ぼうず
葉月,月詠 -MOON PHASE-
緑,ニニンがシノブ伝
山口真美,マリア様がみてる
藍華・S・グランチェスタ,ARIA
テンコ,うえきの法則
タマ※画像左,かみちゅ!
和泉香,極上生徒会
深山美玖,絶対少年
レベッカ宮本/ベッキー,ぱにぽにだっしゅ!
チムニー,ONE PIECE
ボア・サンダーソニア,ONE PIECE
カーネ,おとぎ銃士赤ずきん
月館千代,ストロベリー・パニック
赤堤くりこ,出ましたっ!パワパフガールズZ
アデイル・ロウランド,西の善き魔女
アーニャ,ネギま!?
セッティエーム・ローデリア,パンプキン・シザーズ
ルルゥ,BLOOD+
吉永双葉,吉永さん家のガーゴイル
メグ,ワンワンセレプー それゆけ!徹之進
ルイス・ハレヴィ,機動戦士ガンダム00
由詩,ZOMBIE-LOAN
キャロル,BACCANO!
聖モイラッキー,祝（ハピ☆ラキ）ビックリマン
クロニコ,カイバ
レイチェル・キャルヴィン,鉄のラインバレル
ケメコ,ケメコデラックス!
音無芽留,さよなら絶望先生
フランチェスカ・ルッキーニ,ストライクウィッチーズ
キム・ディール,ソウルイーター
マイト・ザ・フール,ドルアーガの塔
朱染心愛,ロザリオとバンパイア
琥珀,こばと。
当麻みやこ,ささめきこと
クロユリ,07-GHOST
戦場ヶ原ひたぎ,化物語/物語シリーズ
ステラ,荒川アンダーザブリッジ
曹仁子孝,一騎当千
ヤノ・マミ/オンディーヌ,STAR DRIVER
三枝由紀,ダンスインザヴァンパイアバンド
山本真弓,はなまる幼稚園
杉崎みく,みつどもえ
イングリッド・ソルヴェイク・ソルグリムス/イニ,アスタロッテのおもちゃ!
葵・喜美,境界線上のホライゾン
桜参白穂※画像左,C³
飛田志麻子※画像右,たまゆら～hitotose～
メイズ,ファイ・ブレイン
暁美ほむら,魔法少女まどか☆マギカ
テディ※画像左,ラストエグザイル-銀翼のファム-
相田リコ,黒子のバスケ
大星淡,咲-Saki- 阿知賀編
エクレン,ジュエルペット
アリシャ・ルー,ソードアート・オンライン
生島,男子高校生の日常
大室撫子,ゆるゆり♪♪
更識楯無,インフィニット・ストラトス2
ヤジマ・キャロライン,ガンダムビルドファイターズ
ショーコ博士,京騒戯画
薬師丸,京騒戯画
邪神つるぎ,ささみさん@がんばらない
陸奥ほのか,ステラ女学院高等科C3部
いえちー,波打際のむろみさん
豆次郎,ブラッドラッド
メイド長,まおゆう魔王勇者
ペスト,問題児たちが異世界から来るそうですよ?
ヨナ,暁のヨナ
狗神(女性),繰繰れ!コックリさん
魚見チヒロ,生徒会役員共
烏山千歳,ディーふらぐ!
戸次菜摘,のうりん
ジェロニモ,ノブナガン
フレドリカ,棺姫のチャイカ
クロエ,プリズマ☆イリヤ
シギュン・エルステル,ブレイクブレイド
四葉真夜,魔法科高校の劣等生
濡羽,ログ・ホライズン
シールケ,ベルセルク
ウェントリコスス,宝石の国
