ココ,マーメイドメロディーぴちぴちピッチ
蒼葉梢,まほらば※1
篠崎咲世子,コードギアス 反逆のルルーシュ
ノネット・エニアグラム,コードギアス 反逆のルルーシュ
シルフィード,ゼロの使い魔
白井黒子,とある魔術の禁書目録/とある科学の超電磁砲
畑ランコ,生徒会役員共
納豆小僧,ぬらりひょんの孫
鈴木,迷い猫オーバーラン!
ティティ,メタルファイトベイブレード
花田煌,咲-Saki-阿知賀編episode of side-A
シャンタッ君/ナレーション,這いよれ!ニャル子さん
ファ・ユイリィ,機動戦士Ζガンダム A New Translation
アザミ,ウサハナ夢みるバレリーナ
イス香,這いよれ!ニャル子さん
要咲良,蒼穹のファフナー
ネリー,かいけつゾロリ
マーチ,コヨーテラグタイムショー
セプ,コヨーテラグタイムショー
桜井小蒔,東京魔人學園剣風帖朧綺譚
ミル,ポケットモンスター ダイヤモンド&パール
ペケ,ToLOVEる※2
アンナ・カートランド,大正野球娘。
ベアトリス・バスラ－,ストライク・ザ・ブラッド
白夜叉,問題児たちが異世界から来るそうですよ?
エルドラ,selector infected WIXOSS
薊（アザミ）,メカクシティアクターズ
テンペラー星人,はいたい七葉 / ウルトラ怪女子
魔法の水晶/キャシー,魔法つかいプリキュア!
ベアトリス,Re:ゼロから始める異世界生活
ポット（右側）,ネットゴーストPIPOPA
エルス・タスミン,魔法少女リリカルなのはViVid
アビゲイル・マルチネス,アクティヴレイド
ボキャ美,ヘボット!
土星ババア,ヘボット!
サートゥルヌス,ヘボット!
リングアナウンサー,新妹魔王の契約者
絹番莉々子,ひそねとまそたん
ビシン,HUGっと!プリキュア
