根岸みなも,スケッチブックFULLcolor's
サタン,うみねこのなく頃に
秋山澪,けいおん!/けいおん!!
服部絢子,いちばんうしろの大魔王
かおちゃん,カッコカワイイ宣言
レイカ,スティッチ!☆
神代マヤ,世紀末オカルト学院
桂木華,聖痕のクェイサー
天草シノ,生徒会役員共
風音日和,そらのおとしもの
天原清乃,ちゅーぶら!!
ニャスター,モンハン日記ぎりぎりアイルー村
小鳥遊泉,WORKING!!
篠ノ之箒,インフィニット・ストラトス
セラフィム,これはゾンビですか?
ブリオッシュ・ダルキアン,DOGDAYS
狂骨(娘),ぬらりひょんの孫☆
藤崎梓,べるぜバブ
川島みなみ,もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら
リンダ,RioRainbowGate!
永塚紗季,ロウきゅーぶ!☆
雪小路野ばら,妖狐×僕SS
エリカ・ブランデッリ,カンピオーネ!
羌瘣,キングダム
桜小路桜,CODE:BREAKER
赤羽亜矢,ゴクジョッ。
復讐ノ牙・明智光秀,戦国コレクション
ハルカ,探検ドリランド
文学少女,男子高校生の日常
ニイラム・ラワヌナンド,トータル・イクリプス
リアス・グレモリー,ハイスクールD×D
凰沢美兎,はぐれ勇者の鬼畜美学
剣野カユラ,ハヤテのごとく！☆
ミゼルカ,ファイ・ブレイン
須木奈佐木咲,めだかボックス
リン・ランブレッタ,モーレツ宇宙海賊
佐伯奈々子,惡の華
ガブリエラ,キューティクル探偵因幡
クギミヤ・ケイ,銀河機攻隊マジェスティックプリンス
辻垣内智葉,咲-Saki-
マリア・カデンツァヴナ・イヴ,戦姫絶唱シンフォギアG
北白川ひなこ,たまこまーけっと
遊佐恵美/エミリア・ユスティーナ,はたらく魔王さま!
宮本武蔵,百花繚乱サムライブライド
竜ヶ崎怜(小学生),Free!☆
日高日向,僕は友達が少ないNEXT
斎藤かえで,ヤマノススメ
破先エミル,M3～ソノ黒キ鋼～
イースナ,俺、ツインテールになります。☆
英雄崎凜,彼女がフラグをおられたら
楚南恭子,健全ロボダイミダラー
ナンジョウ・レイカ,白銀の意思アルジェヴォルン
ジリオラ・ギラルティ,ストライク・ザ・ブラッド
レスティア・アッシュドール,精霊使いの剣舞
ミカエル,Z/X IGNITION
山奈ミラ,トリニティセブン
ステファニー・ドーラ,ノーゲーム・ノーライフ
ジャンヌ・カグヤ・ダルク,ノブナガ・ザ・フール
ホーン・スクルド,終わりのセラフ
ラフタ・フランクランド,機動戦士ガンダム鉄血のオルフェンズ
ヤオ・ハー・デュッシ/ヤオ・ロゥ・デュッシ,GATE 自衛隊 彼の地にて、斯く戦えり
白神桐子,実は私は
アルテミス,純潔のマリア
フレイヤ,ダンジョンに出会いを求めるのは間違っているだろうか
ファイター,ビキニ・ウォリアーズ
斎藤葵,響け!ユーフォニアム
栗原火雀※画像下,Fate/kaleid liner プリズマ☆イリヤ ツヴァイ ヘルツ!
針島薫,ユリ熊嵐
黒蜥蜴,乱歩奇譚  Game of Laplace
ナッシェタニア,六花の勇者
ギャル子姉,おしえて!ギャル子ちゃん
八神コウ,NEWGAME!
たづ子,ばくおん!!
岸辺みどり,舟を編む
間絶美,ブブキ・ブランキ
ファルネーゼ,ベルセルク
エスラ※画像右,マギ シンドバッドの冒険
ルーラ,魔法少女育成計画
高宮紗希,ろんぐらいだぁす!
村主さゆり,WWW.WORKING!!
エルザ フォルテ,アイカツスターズ!☆
マモン,sin 七つの大罪
佐藤早紀絵,亜人ちゃんは語りたい
友美先生,風夏
源内あお,フレームアームズガール
南禅寺玉瀾,有頂天家族2
花畑よしえ,アホガール
ファルダニア,異世界食堂
ポプ子,ポプテピピック☆　※第4話Aパート
妲己,封神演義
異能肉,十二大戦
アリステリア・フェブラリィ,Re:CREATORS
ピトフーイ,SAOAGGO
フラン,イナズマイレブンGOVSダンボール戦機W
香坂アヤノ,コードギアス亡国のアキト
シャットアウラ=セクウェンツィア,とある魔術の禁書目録 エンデュミオンの奇蹟
くるみ,ハル
ダイアナ・キャベンディッシュ,リトルウィッチアカデミア
戸賀崎幸/ハナレ,selector destructed WIXOSS
笠森仙,足洗邸の住人たち。
松平撫子,夜桜四重奏 -ツキニナク-
足立花※,ヤンキー君とメガネちゃん
セイテン,クイーンズブレイド グリムワール
シンデレラ,絵本の中はみんなチグハグ!
官越いやし,アニメで分かる心療内科
モナコ,ヘタリア The World Twinkle
ネオスチグミンメチル硫酸塩,アイドロップス
ルシファー,モンスターストライク
