シャカチック(左),夢のクレヨン王国
妹尾あいこ,おジャ魔女どれみ
春日歩(大阪),あずまんが大王
朝比奈あるみ,アベノ橋魔法☆商店街
グレンダ,ぷちぷり*ユーシィ
アリサ・グレンノース,宇宙のステルヴィア
水越眞子,D.C.
ミレイユ,.hack//黄昏の腕輪伝説
ナナ,エルフェンリート
井上織姫,BLEACH
エイミィ・リミエッタ,魔法少女リリカルなのはシリーズ
角元れいん,極上生徒会
セス・ナイトロード,トリニティ・ブラッド
エヴァンジェリン・A・K・マクダウェル,魔法先生ネギま!
鶴屋さん,涼宮ハルヒシリーズ
ちゅるやさん,にょろーんちゅるやさん
せつな,京四郎と永遠の空
結城ノナ/プリマ・アスパラス,ななついろ★ドロップス
真朱,あまつき
カナカ,シゴフミ
藤倉優,プリンセスラバー!
伊藤香苗,アマガミ
神宮寺くえす,おまもりひまり
一路舞,黒魔女さんが通る!!
三尋木咏,咲-Saki-阿知賀編episode of side-A
リシェル・ブロンクス,サモンナイト4
エルマーナ・ラルモ,テイルズオブイノセンス
アリサ・ボスコノビッチ,鉄拳6
シャルラッハロート,アルカナハート3
金久保環,Starry☆Sky
音々ちゃん,大阪・日本橋マスコット
喜多嶋麻弥(左),幽遊白書
ノート(DB),ドラゴンボールヒーローズ
