神楽,あずまんが大王
アトラ・モンテヴェルディ,ARIA
アリーテ姫,アリーテ姫
アリソン,アリソンとリリア
ハリエット・バーソロミュー,アルジェントソーマ
宇迦之御魂神,いなり、こんこん、恋いろは。
珊瑚,犬夜叉
森雪,宇宙戦艦ヤマト2199
ホミ・ナンディ,エレメントハンター
彼女,おそ松さん
明日川タイヨウ,カードファイト!!ヴァンガードG
カイバ,カイバ
日下部まろん/怪盗ジャンヌ,神風怪盗ジャンヌ
ヒヲウ,機巧奇傳ヒヲウ戦記
ウェンディ・ギャレット,ガン×ソード
ミスマル・ユリカ,機動戦艦ナデシコ
ナタル・バジルール,機動戦士ガンダムSEED
フレイ・アルスター,機動戦士ガンダムSEED
ステラ・ルーシェ,機動戦士ガンダムSEED DESTINY
佐藤リョータ,今日の5の2（OVA版）
高杉晋助（少年時代）,銀魂゜
坂上智代,CLANNAD
クレア,CLAYMORE
ヴィヴィアン,クロスアンジュ 天使と竜の輪舞
春日夜未,結界師
日向冬樹（2代目）,ケロロ軍曹
コルル,金色のガッシュベル!!
紅秀麗,彩雲国物語
サラブレッドあおかげ,JRA×けものフレンズ すぺしゃる動画「けいばじょう」
グラギエフ,シムーン
レベッカ・リード,灼眼のシャナ
祥瓊,十二国記
オカモト・ミドリ/プロフェッサー・グリーン,STAR DRIVER 輝きのタクト
スカーレット,スペース☆ダンディ
国枝桃子,すべてがFになる THE PERFECT INSIDER
フィリア=ウル=コプト,スレイヤーズTRY
水無瀬流南,生徒会の一存
メデューサ,ソウルイーター
ドロレス,"Z.O.E Dolores, i"
紀多みちる,ZOMBIE-LOAN
紫苑・パヴリチェンコ,DARKER THAN BLACK 流星の双子
館華くらら,ダンクーガノヴァ
美南恵,探偵学園Q
リィル・ゼラバイア,超重神グラヴィオンシリーズ
ララ,D.Gray-man
天野ネネ,デジモンクロスウォーズ
キュートモン,デジモンクロスウォーズ
リリスモン,デジモンクロスウォーズ
戸張レン,デジモンクロスウォーズ～時を駆ける少年ハンターたち～
プラマイ零,デュエル・マスターズV3
鯨木かさね,デュラララ!!×2
天沢勇子,電脳コイル
摘鶴燐,ドクタースランプ
小泉みゆき,どっきりドクター
ホタル,夏目友人帳
珱姫,ぬらりひょんの孫
夕叢霧香,NOIR
明堂院いつき/キュアサンシャイン,ハートキャッチプリキュア
ロゼ・トーマス,鋼の錬金術師（2003年度版）
雪村千鶴,薄桜鬼
キョウジュ,爆転シュートベイブレード
宮崎都,バンブーブレード
豪勝アイ,ヒーローバンク
エスメロード,美少女戦士セーラームーンCrystal
新山聡美,響け!ユーフォニアム2
風茉莉冬馬,ヒャッコ
鷲峰雪緒,ブラックラグーン
砕蜂（2代目）,BLEACH
チルッチ・サンダーウィッチ,BLEACH
キース・バイオレット,PROJECT ARMS
都古麻御,ベターマン
みなと,放課後のプレアデス
ボッカ・セレナーデ,忘却の旋律
ペリドット,宝石の国
しろボン,Bビーダマン爆外伝
松浦ナナセ,マクロスF
平賀百合子,MASTERキートン
シーラ,魔法少女隊アルス
蓬仙あおい,無限のリヴァイアス
秋庭怜子,名探偵コナン 戦慄の楽譜
中禅寺敦子,魍魎の匣
お蝶,モノノ怪
高原イヨ,吉永さん家のガーゴイル
如月久遠,ラーゼフォン
沢村響子,ワールドトリガー
那須玲,ワールドトリガー
ゴーイングメリー号,ONE PIECE
ビクトリア・シンドリー,ONE PIECE
