カン・テジュン,暁のヨナ
瀬名颯一郎,アクティヴレイド
溝呂木辺,悪魔のリドル
戸崎,亜人
堤茂理也,アトム ザ・ビギニング
松雪集,あの日見た花の名前を僕達はまだ知らない。
トリルラン,アルドノア・ゼロ
春海和人,犬とハサミは使いよう
下鴨矢三郎,有頂天家族
ルカ=クロスゼリア,裏切りは僕の名前を知っている
佐田恭也,オオカミ少女と黒王子
おそ松,おそ松さん
総角景,おとめ妖怪ざくろ
黒澤瞬,オレ様キングダム
フェリド・バートリー,終わりのセラフ
霞仙太郎,カスミン
勝改蔵,かってに改蔵
鳳春院廻向,鴉-KARAS-
レイ・ラングレン,ガン×ソード
マクギリス・ファリド/モンターク(仮面の男),機動戦士ガンダム鉄血のオルフェンズ
マルコ・アドリアーノ,GANGSTA.
渋谷有利,今日からマ王!
モルギフ,今日からマ王!＊1
斉藤終,銀魂゜
狗神,繰繰れ!コックリさん
風見雄二,グリザイアの果実
クロード・フォースタス,黒執事Ⅱ
東雄平,クロスゲーム
草薙出雲,K
浮矢瞬,ゲートキーパーズ
鏡形而,GetBackers-奪還屋-
枢木スザク,コードギアス
殺し屋さん,殺し屋さん
高嶺清麿,金色のガッシュベル!!
槙島聖護,PSYCHO-PASS
雛河翔,PSYCHO-PASS2
009/島村ジョー,サイボーグ009 THE CYBORG SOLDIER
神山高志,魁!!クロマティ高校
ダニエル・ディケンズ,殺戮の天使
弥一,さらい屋五葉
林田高志,3月のライオン＊2
真坂木,C
マクシミリアン・ロベスピエール,シュヴァリエ~LeChevalierD'Éon~
高橋美咲,純情ロマンチカ
田崎,ジョーカー・ゲーム
一色慧,食戟のソーマ
岸辺露伴,ジョジョの奇妙な冒険 ダイヤモンドは砕けない
シロクマくん,しろくまカフェ
一文字號,真ゲッターロボ対ネオゲッターロボ＊3
乾有彦,真月譚 月姫
細,新白雪姫伝説プリーティア
ウナギイヌ,深夜!天才バカボン
黒沢大和,好きっていいなよ。
残響死滅,生徒会の一存
紫龍,聖闘士星矢シリーズ＊4
ミーノス,聖闘士星矢 THE LOST CANVAS 冥王神話
玄武のシン,セイント・ビースト
ヤヌア・アイン,戦勇。
ヒルツ,ゾイド-ZOIDS-
ビット・クラウド,ゾイド新世紀/ゼロ
ベーコン,ゾイドワイルド
磯端ウキ,それでも町は廻っている
橘思徒,ZOMBIE-LOAN
クワガッタン,タイムボカン24
御幸一也,ダイヤのA
春華,tactics
ダブルフェイス,超ロボット生命体トランスフォーマー マイクロン伝説
ウララ,つり球
神田ユウ,D.Gray-man
テントモン,デジモンアドベンチャー
ドルルモン,デジモンクロスウォーズ
クオーツモン,デジモンクロスウォーズ 時を駆ける少年ハンターたち
憂う者,DEVIL SURVIVOR2 the ANIMATION
ティーア・ルミブル,伝説の勇者の伝説
ウタ,東京喰種トーキョーグール
ジョー岡田/ジョナサン・クロンダイク,ドキドキ!プリキュア
ハイネ・ラムシュタイナー,DOGS / BULLETS & CARNAGE
フランボワーズ・シャルレー,DOG DAYS
ブラー ,トランスフォーマー アニメイテッド
ココ,トリコ
金城白子,曇天に笑う
サソリ,NARUTO
首無,ぬらりひょんの孫
竹中半兵衛,信長協奏曲
アケチ・ミツヒデ,ノブナガ・ザ・フール
月島明光,ハイキュー!!
増田京介,HIGH SCORE
リオーネ・マッツィーニ他,爆走兄弟レッツ&ゴー!!WGP
忍野メメ,化物語
高橋奏,初恋モンスター
ビゾン・ジェラフィル,バディ・コンプレックス
アルゼイド,破天荒遊戯
百瀬勇貴,バトルスピリッツ 少年激覇ダン
ゾルダー・グレイヴ,バトルスピリッツ ブレイヴ
桃瀬修,ぱにぽにだっしゅ!
山崎烝,PEACE MAKER鐵
滝昇,響け!ユーフォニアム
ルーク・盤城・クロスフィールド,ファイ・ブレイン 神のパズル
スティング・ユークリフ,FAIRY TAIL
馬締光也,舟を編む
ジェノス=ハザード,BLACK CAT
望月ジロー,BLACK BLOOD BROTHERS
霧亥,BLAME!
吉良イヅル,BLEACH
ふぁきあ,プリンセスチュチュ
服部半蔵,BRAVE10
フランシス・F,文豪ストレイドッグス
グリフィス,映画 ベルセルク 黄金時代篇
釘宮方美,ボールルームへようこそ
ジャーファル,マギ
覚醒ロキ,魔探偵ロキ RAGNAROK
ギップル,魔法陣グルグル（2017年第3期）
比護隆佑,名探偵コナン
薬売り,モノノ怪/怪～ayakashi～
霊幻新隆,モブサイコ100
イグニス/Ai,遊戯王VRAINS
アケチ,乱歩奇譚 Game Of Laplace
白崎,ローゼンメイデン トロイメント
クラスティ,ログ・ホライズン
ギーヴ,ワールドトリガー
ゾンビマン,ワンパンマン
万作雄一郎,イナズマイレブンアレスの天秤
水神矢成龍,イナズマイレブンアレスの天秤
ジルクニフ・ルーン・ファーロード・エル＝ニクス,オーバーロード
メトフィエス,GODZILLA(アニメ映画)
冨岡義勇,鬼滅の刃
