タカオ,蒼き鋼のアルペジオ
武智乙哉,悪魔のリドル
アルフリード,アルスラーン戦記（テレビアニメ版）
マユミ,アルモニ
中村莉桜,暗殺教室
大野アシュリー,妹さえいればいい。
鴨居つばめ,うちのメイドがウザすぎる!
ナーベラル・ガンマ,オーバーロード
ベムスター,怪獣娘(黒)〜ウルトラ怪獣擬人化計画〜
アヤメ,ガンダムビルドダイバーズ
クラリオン,紅殻のパンドラ
斗光奈波,極黒のブリュンヒルデ
桐,このはな綺譚
蝦怒川情雨,ささみさん@がんばらない
キルケ・シュタインホフ,シュヴァルツェスマーケン
物部深月,銃皇無尽のファフニール
今村想楽,12歳。＊1
レトリー,SHOW BY ROCK!!（テレビアニメ版）
井口祐未,SHIROBAKO
男鹿アキタ,新幹線変形ロボ シンカリオン THE ANIMATION
パンキー,ズーブルズ
杉崎綾乃,SKET DANCE
榎並清瀬,スロウスタート
遠藤サヤ,だがしかし
広野昌子,たまゆら～hitotose～＊2
浅野先輩,夏色キセキ
ポーラ・マッコイ,ニセコイ
けんじ,はなまる幼稚園＊3
常盤真智,ハナヤマタ
ハンター,ビキニ・ウォリアーズ
黄前麻美子,響け!ユーフォニアム
たま,風夏
ブランディッシュ・μ,劇場版 FAIRY TAIL -DRAGON CRY-
小幡アラタ,ブラック★ロックシューター
林,僕らはみんな河合荘＊4
リップル,魔法少女育成計画
ミナ,魔法使いの嫁
シギー,メイドインアビス
A.ソーエ,もやしもん
乙姫,妖怪ウォッチ
星風キララ,妖怪ウォッチ
朱藤依子,ランス・アンド・マスクス
半蔵門雪,RELEASE THE SPYCE
桜井あおい,RAIL WARS!
緋山茜,恋愛暴君
倉橋莉子,恋愛ラボ
