白石蔵ノ介,テニスの王子様
鑢七花,刀語
筒井雪隆,レベルE
ネズミ,NO.6
Ⅳ,遊戯王ZEXAL
綿谷新,ちはやふる
反ノ塚連勝,妖狐×僕SS
降矢凰壮,銀河へキックオフ!!
日向順平,黒子のバスケ
川渕千太郎,坂道のアポロン
日高昴,Robotics;Notes
暁古城,ストライク・ザ・ブラッド
ペット,イクシオンサーガDT
マスルール,マギ
加藤三郎,宇宙戦艦ヤマト2199
ライナー・ブラウン,進撃の巨人
ムサシ,ナンバカ
イクスアイン,革命機ヴァルヴレイヴ
東峰旭,ハイキュー!!
王賁,キングダム
檎,鬼灯の冷徹
赤馬零児,遊☆戯☆王ARC-V
結城哲也,ダイヤのA
アルベリック・ジレット,棺姫のチャイカ
石川透,堀さんと宮村くん
ウェイブ,アカメが斬る!
山崎宗介,Free!
膝丸燈,テラフォーマーズ
ダリューン,アルスラーン戦記(日5版)
桐生将吾,一週間フレンズ。
アドウ・サガ,ガンダムビルドファイターズトライ
オルガ・イツカ,機動戦士ガンダム鉄血のオルフェンズ
九頭竜京摩,ミカグラ学園組曲
ヴェルフ・クロッゾ,ダンジョンに出会いを求めるのは間違っているだろうか
秋葉流,うしおととら（TVアニメ版）
オプティマスプライム,キュートランスフォーマー
一色杏弥,オレ様キングダム
ギンティ,デス・パレード
七海征十郎※1,電波教師（TVアニメ版）
草薙タケル※1,対魔導学園35試験小隊
鳴海真琴,終わりのセラフ
ロム,SHOWBYROCK!!
天花寺翔,スタミュ-高校星歌劇-
ハルヒロ,灰と幻想のグリムガル
太田,田中くんはいつもけだるげ
国木田独歩,文豪ストレイドッグス
小田切,ジョーカー・ゲーム
窪谷須亜蓮,斉木楠雄のΨ難
赤山濯也,ALL OUT!!
オタベック・アルティン,ユーリ!!!onICE
常闇踏陰,僕のヒーローアカデミア
エピゾ・エヴァンス,ブブキ・ブランキ
鬼瓦天牙,モブサイコ100
桜威,モブサイコ100
ギギナ,されど罪人は竜と踊る
破山キラ,メタルファイトベイブレードZERO-G
黄飛虎,覇穹 封神演義
ビャッコ,新幹線変形ロボ_シンカリオン_THE_ANIMATION
日景典馬,火ノ丸相撲
カッパード,スター☆トゥインクルプリキュア
