キース・ブラック,ARMS
イゴール・ネイガウス,青の祓魔師
トレバー・ベルモンド,悪魔城ドラキュラ -キャッスルヴァニア-
ムカーディア,Yes!プリキュア5GoGo!
チャールズ=J=クリスフント,Vassalord.
ダービット・クリューゲル/テッカマンゾマー,宇宙の騎士テッカマンブレードII
レオン/レオンカイザー,黄金勇者ゴルドラン
たっち・みー,オーバーロード
柊恵一/ウサミミ仮面,おねがいマイメロディ
大山リュウタロウ(支部長)（右の人物）,カードファイト!!ヴァンガードG
真庭鳳凰,刀語
玄霧皐月,空の境界
アカツキ・ナガレ,機動戦艦ナデシコ
アンドリュー・バルトフェルド,機動戦士ガンダムSEED
デヴァイン・ノヴァ,機動戦士ガンダム00(第2期)
ブリング・スタビティ,機動戦士ガンダム00(第2期)
阿佐田哲也,勝負師伝説 哲也
ケビンマスク,キン肉マンⅡ世
プリプリマン,キン肉マンⅡ世
月光,空想科学世界ガリバーボーイ
虹村修造,黒子のバスケ
青山くん,潔癖男子!青山くん
ヴィンセント・バリー,金色のガッシュベル!!
大五郎,30歳の保健体育
鵺野鳴介,地獄先生ぬ～べ～
山神燦緒,シスタープリンセス
マッハウインディ,疾風!アイアンリーガー
村越茂幸,GIANT KILLING
アシオ,ジャングルはいつもハレのちグゥ
小田豪鯉之介,十兵衛ちゃん
朝比奈薫,純情ロマンチカ
風見達也,少女革命ウテナ
トレーズ・クシュリナーダ,新機動戦記ガンダムW
陣内克彦,神秘の世界エルハザード
早乙女律,スタミュ-高校星歌劇-
正宗,ストレンジ・プラス
三井寿,SLAM DUNK
カノン（海龍のカノン/双子座のカノン）,聖闘士星矢＊1
サガ（双子座のサガ）,聖闘士星矢＊2
ウォルター・バーゲスト,蒼穹のファフナー EXODUS
ラン・フェイフォン,中華一番!
ダーク・マウジー,D・N・ANGEL
リーバー・ウェンハム,D.Gray-man
シン,DD北斗の拳
木村拓郎,デ・ジ・キャラット
ロードナイトモン,デジモンフロンティア
喜多一馬,テニスの王子様
手塚国光,テニスの王子様
土御門夜光,東京レイヴンズ
Dr.マシリト,ドクタースランプ
ロディマスコンボイ,トランスフォーマー スーパーリンク
トリコ,トリコ
風魔小太郎,隠の王
バジリスク,ニンジャスレイヤーフロムアニメイシヨン
善法寺伊作,忍たま乱太郎
魔界之小路,忍たま乱太郎
本願寺顕如,信長の忍び
番ケンジ,ハートキャッチプリキュア
グラチェス,覇王大系リューナイト
スカー,鋼の錬金術師(2003年版)
牛若天子,祝(ハピ☆ラキ)ビックリマン
デボラ貴崎,ヒーローバンク
タイガーズ・アイ,美少女戦士セーラームーンSuperS
遠垣内将司,氷菓
バーサーカー,Fate/Zero
忠太郎,ふたりはプリキュア
フランツ・ハイネル,新世紀GPXサイバーフォーミュラ
朽木白哉,BLEACH
草摩紫呉,フルーツバスケット
筧十蔵,BRAVE10
錦織一成,ぼくの地球を守って
柏崎天馬,僕は友達が少ない
織田信長,炎の蜃気楼
ツル・ツルリーナ3世,ボボボーボ・ボーボボ
天草四郎,魔界転生 地獄篇
ファティマー,マギ
イノーバ,魔法騎士レイアース
ハーティア,魔術士オーフェン
松浦遊,ママレード・ボーイ
新宿凛太郎,ミラクル☆トレイン
ゴージャス,MAZE☆爆熱時空
沖矢昴,名探偵コナン
綾小路文麿,名探偵コナン(映画)
焔緋,モノクローム・ファクター
本田ヒロト,遊☆戯☆王
マクレーン/ビルドタイガー/スーパービルドタイガー,勇者警察ジェイデッカー
ファイアダイバー/ガードダイバー,勇者特急マイトガイン
セコンダリー(右側),ライブオン CARDLIVER 翔
宮川あつし,リコーダーとランドセル
剣崎順,リングにかけろ1
紅麗,烈火の炎
冬島慎次,ワールドトリガー
カク,ONE PIECE
