ギレン・ザビ,機動戦士ガンダム
ジャン・ポール・ロッチナ,装甲騎兵ボトムズ※1
サウザー,北斗の拳※2
クロコダイン,ドラゴンクエスト ダイの大冒険
ティンプ・シャローン,戦闘メカザブングル※3
ラーメンマン(2代目),キン肉マン※4
カシオス,聖闘士星矢
リキ,銀牙 -流れ星 銀-
J,魁!!男塾
モーガン,ONEPIECE
サガット,ストリートファイター(TVアニメ版)
東風,カウボーイビバップ
ギラン,ドラゴンボール
シルバー大佐,ドラゴンボール
ボラ,ドラゴンボール
ベジータ王,ドラゴンボールZ
カスタマーサービス,星のカービィ アニメ版
ナイトメアウィザード,星のカービィ アニメ版
メガザラック/スコルポノック,トランスフォーマー ザ☆ヘッドマスターズ
ブラックザラック,トランスフォーマー 超神マスターフォース
味将軍,ミスター味っ子
ブラッドファルコン,F-ZERO ファルコン伝説
ヴェロッキオ,BLACKLAGOON
バッボ（※画像左）,メルヘヴン
鳳仙,銀魂
ウルトラマグナス,トランスフォーマーアニメイテッド
ギルベルト・F・アルトシュタイン,血界戦線※5
005/ジェロニモ・ジュニア,サイボーグ009(1979年版)
与作,トリコ
ネテロ(2代目),HUNTER×HUNTER(2011年版)※6
ダニエル・J・ダービー,ジョジョの奇妙な冒険 スターダストクルセイダース
アモンド,ドラゴンボールZ(劇場版)
薙切仙左衛門,食戟のソーマ
マゼラン大帝,宇宙魔神ダイケンゴー
かぜこんこん(2代目),それいけ!アンパンマン※7
魔王ギリ,魔法陣グルグル(2017年版)
ピピ美,ポプテピピック ※第11話Bパート
首狩り将軍,ルパン三世DEAD_OR_ALIVE
ドリアン,範馬刃牙
