蒼井ソウタ,RD 潜脳調査室
キューバ,Axis powers ヘタリア
日本,Axis powers ヘタリア
サキ・ヴァシュタール,エリア88
スペルビ・スクアーロ,家庭教師ヒットマンREBORN!
乙比古,神様はじめました
アーサー・トライン,機動戦士ガンダムSEED DESTINY
コントロル,コレクター・ユイ
パルコ・フォルゴレ,金色のガッシュベル!!
ジーク,終末のイゼッタ
六合,少年陰陽師
播磨拳児,スクールランブル
犬塚孝士,すもももももも
クレープマン（2代目）,それいけ!アンパンマン
チョコレートマン〈4代目〉,それいけ!アンパンマン
西條高人,抱かれたい男1位に脅されています。
エドワーズ,tactics
もんざえモン,デジモンアドベンチャー
インプモン,デジモンテイマーズ
ステファン・ジェバンニ,DEATH NOTE
菊丸英二,テニスの王子様
木更津亮,テニスの王子様
紅雀,DRAMAtical Murder
エルグ,トリコ
リキッド,PAPUWA
ヒソカ=モロウ,HUNTER×HUNTER（1999年版）
パリストン=ヒル,HUNTER×HUNTER（2011年版）
スタースクリーム/ヘルスクリーム,ビーストウォーズII 超生命体トランスフォーマー
ルベウス,美少女戦士セーラームーンCrystal
ピーサード,ふたりはプリキュア
タクト,ポケットモンスター ダイヤモンド&パール
ゼロ,ボンバーマンジェッターズ
マイティ,ボンバーマンジェッターズ
マックス,ボンバーマンジェッターズ
ザガン,マギ
金竜,マクロス7
陸奥八雲,陸奥圓明流外伝 修羅の刻
針生恭介,メガネブ!＊1
城之内克也,遊☆戯☆王デュエルモンスターズ
アルベルト=フレイザー,ロクでなし魔術講師と禁忌教典
